product_name,product_category_tree,retail_price,discounted_price,brand,discounted_percent
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
AW Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",999.0,499.0,AW,50.050050050050054
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",699.0,267.0,Alisha,61.80257510729614
Sicons All Purpose Arnica Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",220.0,210.0,Sicons,4.545454545454546
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",430.0,430.0,Eternal Gandhi,0.0
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,60.05004170141785
FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
"dilli bazaaar Bellies, Corporate Casuals, Casuals","[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",699.0,349.0,dilli bazaaar,50.07153075822603
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,60.05004170141785
Ladela Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",1724.0,950.0,Ladela,44.895591647331784
Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",2299.0,910.0,Carrel,60.41757285776425
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
Freelance Vacuum Bottles 350 ml Bottle,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",699.0,699.0,Freelance,0.0
Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
Style Foot Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",899.0,449.0,Style Foot,50.055617352614014
Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",2499.0,999.0,Carrel,60.024009603841534
FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
Sicons Conditioning Conditoner Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",110.0,100.0,Sicons,9.090909090909092
dongli Printed Boy's Round Neck T-Shirt,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",2400.0,1039.0,dongli,56.708333333333336
SWAGGA Women Clogs,"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",1500.0,1500.0,SWAGGA,0.0
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,"[""Pet Supplies >> Toys >> Comfort Toys""]",190.0,190.0,Kennel,0.0
Bengal Blooms Rose Artificial Plant  with Pot,"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",799.0,579.0,Bengal Blooms,27.53441802252816
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",999.0,699.0,Indcrown,30.03003003003003
Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",499.0,275.0,Shopmania,44.88977955911824
Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",499.0,275.0,Shopmania,44.88977955911824
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound","[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",1000.0,837.0,Tiara Diaries,16.3
KAJCI Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",1200.0,699.0,KAJCI,41.75
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",350.0,298.0,Packman,14.857142857142858
Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",899.0,899.0,Pick Pocket,0.0
Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",999.0,399.0,Angelfish,60.06006006006006
Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",899.0,764.0,Oye,15.016685205784205
Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",1999.0,1349.0,Nuride,32.51625812906453
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",1499.0,1499.0,OM SHIVAKRITI,0.0
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",6999.0,1899.0,Himmlisch,72.86755250750107
